sensor,date,measurement
light,2023-04-25 13:36:26.741076,4164
humidity,2023-04-25 13:36:26.741086,33
weight,2023-04-25 13:36:26.741088,65
weight,2023-04-25 13:36:26.741090,
humidity,2023-04-25 13:36:26.741092,57
humidity,2023-04-25 13:36:26.741094,86
humidity,2023-04-25 13:36:26.741096,
weight,2023-04-25 13:36:26.741098,85
humidity,2023-04-25 13:36:26.741099,E5
weight,2023-04-25 13:36:26.741101,51
temperature,2023-04-25 13:36:26.741103,E1
weight,2023-04-25 13:36:26.741105,162
light,2023-04-25 13:36:26.741107,1633
light,2023-04-25 13:36:26.741109,3387
weight,2023-04-25 13:36:26.741111,151
temperature,2023-04-25 13:36:26.741113,116
temperature,2023-04-25 13:36:26.741115,178
humidity,2023-04-25 13:36:26.741117,90
weight,2023-04-25 13:36:26.741119,157
weight,2023-04-25 13:36:26.741121,180
temperature,2023-04-25 13:36:26.741123,195
weight,2023-04-25 13:36:26.741125,139
weight,2023-04-25 13:36:26.741127,36
humidity,2023-04-25 13:36:26.741129,59
temperature,2023-04-25 13:36:26.741130,E2
humidity,2023-04-25 13:36:26.741132,54
light,2023-04-25 13:36:26.741134,E1
humidity,2023-04-25 13:36:26.741136,14
humidity,2023-04-25 13:36:26.741138,57
weight,2023-04-25 13:36:26.741140,86
humidity,2023-04-25 13:36:26.741141,82
temperature,2023-04-25 13:36:26.741144,59
humidity,2023-04-25 13:36:26.741145,35
temperature,2023-04-25 13:36:26.741147,36
humidity,2023-04-25 13:36:26.741149,65
humidity,2023-04-25 13:36:26.741151,73
weight,2023-04-25 13:36:26.741153,125
temperature,2023-04-25 13:36:26.741155,2
light,2023-04-25 13:36:26.741157,4829
weight,2023-04-25 13:36:26.741159,150
weight,2023-04-25 13:36:26.741160,16
weight,2023-04-25 13:36:26.741162,135
weight,2023-04-25 13:36:26.741164,6
light,2023-04-25 13:36:26.741166,1618
temperature,2023-04-25 13:36:26.741168,142
light,2023-04-25 13:36:26.741170,1370
temperature,2023-04-25 13:36:26.741172,E6
weight,2023-04-25 13:36:26.741173,196
light,2023-04-25 13:36:26.741175,3922
weight,2023-04-25 13:36:26.741177,124
light,2023-04-25 13:36:26.741179,3901
weight,2023-04-25 13:36:26.741181,130
temperature,2023-04-25 13:36:26.741183,138
light,2023-04-25 13:36:26.741185,E2
temperature,2023-04-25 13:36:26.741186,18
weight,2023-04-25 13:36:26.741188,E5
light,2023-04-25 13:36:26.741190,3716
temperature,2023-04-25 13:36:26.741192,23
humidity,2023-04-25 13:36:26.741194,55
temperature,2023-04-25 13:36:26.741195,20
humidity,2023-04-25 13:36:26.741197,73
humidity,2023-04-25 13:36:26.741199,37
light,2023-04-25 13:36:26.741201,1582
light,2023-04-25 13:36:26.741203,336
weight,2023-04-25 13:36:26.741205,97
light,2023-04-25 13:36:26.741207,5885
temperature,2023-04-25 13:36:26.741209,78
humidity,2023-04-25 13:36:26.741211,52
weight,2023-04-25 13:36:26.741212,19
humidity,2023-04-25 13:36:26.741214,20
temperature,2023-04-25 13:36:26.741216,55
temperature,2023-04-25 13:36:26.741218,177
temperature,2023-04-25 13:36:26.741220,E2
humidity,2023-04-25 13:36:26.741222,4
light,2023-04-25 13:36:26.741223,3128
humidity,2023-04-25 13:36:26.741226,25
temperature,2023-04-25 13:36:26.741227,133
light,2023-04-25 13:36:26.741230,4841
light,2023-04-25 13:36:26.741232,1627
weight,2023-04-25 13:36:26.741234,122
weight,2023-04-25 13:36:26.741235,152
humidity,2023-04-25 13:36:26.741237,E4
humidity,2023-04-25 13:36:26.741284,70
temperature,2023-04-25 13:36:26.741288,35
humidity,2023-04-25 13:36:26.741291,48
light,2023-04-25 13:36:26.741294,252
temperature,2023-04-25 13:36:26.741297,142
humidity,2023-04-25 13:36:26.741299,34
temperature,2023-04-25 13:36:26.741302,47
temperature,2023-04-25 13:36:26.741305,34
light,2023-04-25 13:36:26.741308,781
temperature,2023-04-25 13:36:26.741311,55
weight,2023-04-25 13:36:26.741346,125
light,2023-04-25 13:36:26.741350,4151
weight,2023-04-25 13:36:26.741353,174
weight,2023-04-25 13:36:26.741372,36
light,2023-04-25 13:36:26.741376,702
temperature,2023-04-25 13:36:26.741378,139
weight,2023-04-25 13:36:26.741380,20
light,2023-04-25 13:36:26.741382,5172
temperature,2023-04-25 13:36:26.741384,58
weight,2023-04-25 13:36:26.741386,50
light,2023-04-25 13:36:26.741388,2545
humidity,2023-04-25 13:36:26.741390,68
temperature,2023-04-25 13:36:26.741392,175
weight,2023-04-25 13:36:26.741394,95
humidity,2023-04-25 13:36:26.741396,E9
temperature,2023-04-25 13:36:26.741398,37
light,2023-04-25 13:36:26.741400,2676
weight,2023-04-25 13:36:26.741424,65
weight,2023-04-25 13:36:26.741426,92
light,2023-04-25 13:36:26.741428,5490
light,2023-04-25 13:36:26.741430,3933
temperature,2023-04-25 13:36:26.741434,142
temperature,2023-04-25 13:36:26.741468,79
humidity,2023-04-25 13:36:26.741470,63
light,2023-04-25 13:36:26.741472,79
temperature,2023-04-25 13:36:26.741475,12
weight,2023-04-25 13:36:26.741477,30
temperature,2023-04-25 13:36:26.741479,81
temperature,2023-04-25 13:36:26.741481,85
temperature,2023-04-25 13:36:26.741483,135
light,2023-04-25 13:36:26.741485,2379
temperature,2023-04-25 13:36:26.741487,192
weight,2023-04-25 13:36:26.741489,142
weight,2023-04-25 13:36:26.741491,37
temperature,2023-04-25 13:36:26.741492,92
light,2023-04-25 13:36:26.741495,969
light,2023-04-25 13:36:26.741497,2632
light,2023-04-25 13:36:26.741523,97
weight,2023-04-25 13:36:26.741525,1
temperature,2023-04-25 13:36:26.741527,184
weight,2023-04-25 13:36:26.741529,E1
weight,2023-04-25 13:36:26.741530,E0
light,2023-04-25 13:36:26.741532,5959
humidity,2023-04-25 13:36:26.741536,E1
light,2023-04-25 13:36:26.741539,3754
humidity,2023-04-25 13:36:26.741541,97
temperature,2023-04-25 13:36:26.741542,25
weight,2023-04-25 13:36:26.741544,83
weight,2023-04-25 13:36:26.741546,87
weight,2023-04-25 13:36:26.741548,163
light,2023-04-25 13:36:26.741550,3642
weight,2023-04-25 13:36:26.741552,134
humidity,2023-04-25 13:36:26.741554,65
weight,2023-04-25 13:36:26.741556,E0
temperature,2023-04-25 13:36:26.741558,95
weight,2023-04-25 13:36:26.741560,80
light,2023-04-25 13:36:26.741562,1166
humidity,2023-04-25 13:36:26.741564,45
temperature,2023-04-25 13:36:26.741566,175
humidity,2023-04-25 13:36:26.741568,69
humidity,2023-04-25 13:36:26.741570,70
temperature,2023-04-25 13:36:26.741571,76
temperature,2023-04-25 13:36:26.741573,&^%$
humidity,2023-04-25 13:36:26.741575,47
temperature,2023-04-25 13:36:26.741577,55
weight,2023-04-25 13:36:26.741579,81
weight,2023-04-25 13:36:26.741581,68
light,2023-04-25 13:36:26.741584,1326
weight,2023-04-25 13:36:26.741586,129
light,2023-04-25 13:36:26.741588,3280
temperature,2023-04-25 13:36:26.741590,157
temperature,2023-04-25 13:36:26.741592,E8
humidity,2023-04-25 13:36:26.741594,17
light,2023-04-25 13:36:26.741596,E6
