sensor,date,measurement
temperature,2023-04-25 13:53:31.759460,40
humidity,2023-04-25 13:53:31.759470,26
temperature,2023-04-25 13:53:31.759473,196
temperature,2023-04-25 13:53:31.759475,2
temperature,2023-04-25 13:53:31.759477,10
humidity,2023-04-25 13:53:31.759479,11
temperature,2023-04-25 13:53:31.759481,89
light,2023-04-25 13:53:31.759483,E8
light,2023-04-25 13:53:31.759485,5135
light,2023-04-25 13:53:31.759488,1732
temperature,2023-04-25 13:53:31.759490,E8
humidity,2023-04-25 13:53:31.759491,75
light,2023-04-25 13:53:31.759493,1586
humidity,2023-04-25 13:53:31.759495,24
temperature,2023-04-25 13:53:31.759497,95
humidity,2023-04-25 13:53:31.759499,86
weight,2023-04-25 13:53:31.759501,10
temperature,2023-04-25 13:53:31.759503,124
light,2023-04-25 13:53:31.759504,2145
humidity,2023-04-25 13:53:31.759506,42
temperature,2023-04-25 13:53:31.759508,33
light,2023-04-25 13:53:31.759510,2191
weight,2023-04-25 13:53:31.759512,151
light,2023-04-25 13:53:31.759513,2560
weight,2023-04-25 13:53:31.759515,88
light,2023-04-25 13:53:31.759517,2449
light,2023-04-25 13:53:31.759519,1833
humidity,2023-04-25 13:53:31.759521,100
humidity,2023-04-25 13:53:31.759523,81
light,2023-04-25 13:53:31.759524,4314
temperature,2023-04-25 13:53:31.759526,E9
temperature,2023-04-25 13:53:31.759527,147
weight,2023-04-25 13:53:31.759529,2
weight,2023-04-25 13:53:31.759531,153
temperature,2023-04-25 13:53:31.759533,67
humidity,2023-04-25 13:53:31.759535,28
weight,2023-04-25 13:53:31.759536,E2
temperature,2023-04-25 13:53:31.759538,189
temperature,2023-04-25 13:53:31.759540,31
weight,2023-04-25 13:53:31.759541,195
temperature,2023-04-25 13:53:31.759543,123
humidity,2023-04-25 13:53:31.759545,21
light,2023-04-25 13:53:31.759547,2956
weight,2023-04-25 13:53:31.759548,90
light,2023-04-25 13:53:31.759550,2594
humidity,2023-04-25 13:53:31.759552,50
light,2023-04-25 13:53:31.759554,3224
weight,2023-04-25 13:53:31.759556,181
weight,2023-04-25 13:53:31.759558,120
temperature,2023-04-25 13:53:31.759559,132
temperature,2023-04-25 13:53:31.759561,19
light,2023-04-25 13:53:31.759563,1589
humidity,2023-04-25 13:53:31.759565,45
humidity,2023-04-25 13:53:31.759567,40
temperature,2023-04-25 13:53:31.759568,135
temperature,2023-04-25 13:53:31.759570,150
temperature,2023-04-25 13:53:31.759572,E2
temperature,2023-04-25 13:53:31.759574,90
humidity,2023-04-25 13:53:31.759575,90
humidity,2023-04-25 13:53:31.759577,94
humidity,2023-04-25 13:53:31.759579,69
light,2023-04-25 13:53:31.759581,2028
weight,2023-04-25 13:53:31.759582,192
light,2023-04-25 13:53:31.759584,2391
temperature,2023-04-25 13:53:31.759586,6
light,2023-04-25 13:53:31.759588,4096
humidity,2023-04-25 13:53:31.759590,62
temperature,2023-04-25 13:53:31.759592,181
temperature,2023-04-25 13:53:31.759594,E6
weight,2023-04-25 13:53:31.759595,136
weight,2023-04-25 13:53:31.759597,117
humidity,2023-04-25 13:53:31.759599,77
humidity,2023-04-25 13:53:31.759601,93
weight,2023-04-25 13:53:31.759602,114
weight,2023-04-25 13:53:31.759604,107
humidity,2023-04-25 13:53:31.759606,68
temperature,2023-04-25 13:53:31.759607,15
light,2023-04-25 13:53:31.759610,4579
light,2023-04-25 13:53:31.759612,5183
temperature,2023-04-25 13:53:31.759613,E9
humidity,2023-04-25 13:53:31.759615,99
light,2023-04-25 13:53:31.759616,1211
light,2023-04-25 13:53:31.759674,3696
weight,2023-04-25 13:53:31.759677,17
weight,2023-04-25 13:53:31.759679,34
light,2023-04-25 13:53:31.759681,4757
light,2023-04-25 13:53:31.759683,636
temperature,2023-04-25 13:53:31.759685,199
temperature,2023-04-25 13:53:31.759687,12
weight,2023-04-25 13:53:31.759688,65
humidity,2023-04-25 13:53:31.759690,68
humidity,2023-04-25 13:53:31.759692,13
humidity,2023-04-25 13:53:31.759694,17
temperature,2023-04-25 13:53:31.759696,122
temperature,2023-04-25 13:53:31.759698,196
light,2023-04-25 13:53:31.759700,5055
temperature,2023-04-25 13:53:31.759702,119
humidity,2023-04-25 13:53:31.759704,17
temperature,2023-04-25 13:53:31.759706,44
temperature,2023-04-25 13:53:31.759708,71
humidity,2023-04-25 13:53:31.759710,32
humidity,2023-04-25 13:53:31.759711,20
humidity,2023-04-25 13:53:31.759714,57
temperature,2023-04-25 13:53:31.759715,173
weight,2023-04-25 13:53:31.759717,128
light,2023-04-25 13:53:31.759719,1433
humidity,2023-04-25 13:53:31.759721,23
light,2023-04-25 13:53:31.759723,1075
light,2023-04-25 13:53:31.759725,1481
humidity,2023-04-25 13:53:31.759727,35
temperature,2023-04-25 13:53:31.759729,6
humidity,2023-04-25 13:53:31.759731,10
temperature,2023-04-25 13:53:31.759732,113
light,2023-04-25 13:53:31.759739,1869
humidity,2023-04-25 13:53:31.759741,60
humidity,2023-04-25 13:53:31.759743,E9
light,2023-04-25 13:53:31.759748,1572
temperature,2023-04-25 13:53:31.759750,179
temperature,2023-04-25 13:53:31.759751,75
light,2023-04-25 13:53:31.759753,487
weight,2023-04-25 13:53:31.759755,156
temperature,2023-04-25 13:53:31.759757,32
temperature,2023-04-25 13:53:31.759759,161
light,2023-04-25 13:53:31.759761,2825
temperature,2023-04-25 13:53:31.759762,69
light,2023-04-25 13:53:31.759764,E0
weight,2023-04-25 13:53:31.759766,158
weight,2023-04-25 13:53:31.759768,193
light,2023-04-25 13:53:31.759770,2448
humidity,2023-04-25 13:53:31.759772,E8
temperature,2023-04-25 13:53:31.759774,52
humidity,2023-04-25 13:53:31.759775,2
humidity,2023-04-25 13:53:31.759777,15
temperature,2023-04-25 13:53:31.759779,135
weight,2023-04-25 13:53:31.759780,149
humidity,2023-04-25 13:53:31.759782,13
humidity,2023-04-25 13:53:31.759786,70
temperature,2023-04-25 13:53:31.759789,185
temperature,2023-04-25 13:53:31.759791,81
temperature,2023-04-25 13:53:31.759793,168
weight,2023-04-25 13:53:31.759795,186
humidity,2023-04-25 13:53:31.759797,67
weight,2023-04-25 13:53:31.759799,E0
humidity,2023-04-25 13:53:31.759801,15
light,2023-04-25 13:53:31.759802,5885
light,2023-04-25 13:53:31.759804,4807
humidity,2023-04-25 13:53:31.759806,3
weight,2023-04-25 13:53:31.759808,184
light,2023-04-25 13:53:31.759810,692
light,2023-04-25 13:53:31.759812,2310
weight,2023-04-25 13:53:31.759814,170
weight,2023-04-25 13:53:31.759815,144
light,2023-04-25 13:53:31.759817,41
temperature,2023-04-25 13:53:31.759819,109
weight,2023-04-25 13:53:31.759821,149
light,2023-04-25 13:53:31.759823,4157
light,2023-04-25 13:53:31.759825,1902
light,2023-04-25 13:53:31.759827,5398
weight,2023-04-25 13:53:31.759829,33
temperature,2023-04-25 13:53:31.759832,E8
humidity,2023-04-25 13:53:31.759834,E8
humidity,2023-04-25 13:53:31.759835,87
temperature,2023-04-25 13:53:31.759837,32
temperature,2023-04-25 13:53:31.759839,139
humidity,2023-04-25 13:53:31.759841,91
light,2023-04-25 13:53:31.759843,110
weight,2023-04-25 13:53:31.759844,125
weight,2023-04-25 13:53:31.759846,40
temperature,2023-04-25 13:53:31.759848,54
temperature,2023-04-25 13:53:31.759850,38
temperature,2023-04-25 13:53:31.759852,105
humidity,2023-04-25 13:53:31.759854,60
weight,2023-04-25 13:53:31.759856,70
weight,2023-04-25 13:53:31.759858,107
humidity,2023-04-25 13:53:31.759860,63
weight,2023-04-25 13:53:31.759862,180
temperature,2023-04-25 13:53:31.759864,189
humidity,2023-04-25 13:53:31.759866,32
humidity,2023-04-25 13:53:31.759867,83
weight,2023-04-25 13:53:31.759871,142
weight,2023-04-25 13:53:31.759873,110
weight,2023-04-25 13:53:31.759875,68
weight,2023-04-25 13:53:31.759878,130
light,2023-04-25 13:53:31.759880,5156
humidity,2023-04-25 13:53:31.759882,28
temperature,2023-04-25 13:53:31.759884,4
weight,2023-04-25 13:53:31.759885,189
humidity,2023-04-25 13:53:31.759887,40
temperature,2023-04-25 13:53:31.759889,161
light,2023-04-25 13:53:31.759891,902
temperature,2023-04-25 13:53:31.759893,174
light,2023-04-25 13:53:31.759894,3769
temperature,2023-04-25 13:53:31.759896,91
weight,2023-04-25 13:53:31.759898,200
temperature,2023-04-25 13:53:31.759900,E0
temperature,2023-04-25 13:53:31.759901,9
humidity,2023-04-25 13:53:31.759903,89
light,2023-04-25 13:53:31.759905,2213
temperature,2023-04-25 13:53:31.759907,118
humidity,2023-04-25 13:53:31.759909,5
weight,2023-04-25 13:53:31.759911,184
temperature,2023-04-25 13:53:31.759912,5
light,2023-04-25 13:53:31.759914,3497
weight,2023-04-25 13:53:31.759916,36
temperature,2023-04-25 13:53:31.759918,158
light,2023-04-25 13:53:31.759922,4526
weight,2023-04-25 13:53:31.759923,193
weight,2023-04-25 13:53:31.759925,E6
humidity,2023-04-25 13:53:31.759927,99
humidity,2023-04-25 13:53:31.759929,59
temperature,2023-04-25 13:53:31.759931,84
light,2023-04-25 13:53:31.759932,637
light,2023-04-25 13:53:31.759934,1567
weight,2023-04-25 13:53:31.759936,19
weight,2023-04-25 13:53:31.759938,52
weight,2023-04-25 13:53:31.759940,129
humidity,2023-04-25 13:53:31.759941,65
humidity,2023-04-25 13:53:31.759943,16
weight,2023-04-25 13:53:31.759945,14
weight,2023-04-25 13:53:31.759947,102
weight,2023-04-25 13:53:31.759949,126
temperature,2023-04-25 13:53:31.759952,47
weight,2023-04-25 13:53:31.759954,63
temperature,2023-04-25 13:53:31.759956,58
humidity,2023-04-25 13:53:31.759958,80
humidity,2023-04-25 13:53:31.759960,19
light,2023-04-25 13:53:31.759961,4845
temperature,2023-04-25 13:53:31.759963,108
temperature,2023-04-25 13:53:31.759967,166
weight,2023-04-25 13:53:31.759968,150
light,2023-04-25 13:53:31.759970,440
light,2023-04-25 13:53:31.759972,5118
temperature,2023-04-25 13:53:31.759974,112
weight,2023-04-25 13:53:31.759976,141
light,2023-04-25 13:53:31.759978,2909
temperature,2023-04-25 13:53:31.759980,122
weight,2023-04-25 13:53:31.759982,82
humidity,2023-04-25 13:53:31.759983,69
temperature,2023-04-25 13:53:31.759986,133
humidity,2023-04-25 13:53:31.759988,17
humidity,2023-04-25 13:53:31.759990,23
humidity,2023-04-25 13:53:31.759992,E2
light,2023-04-25 13:53:31.759995,3954
humidity,2023-04-25 13:53:31.759997,22
temperature,2023-04-25 13:53:31.759999,61
weight,2023-04-25 13:53:31.760000,Test
humidity,2023-04-25 13:53:31.760002,5
humidity,2023-04-25 13:53:31.760004,70
